dataset,file,event_id,event_start,event_end,subsystem_root,variable_roots,granularity,task,time_index,source
HAI_21_03_test2,HAI_21_03_test2.csv,9,43391,43590,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,10,52140,52561,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,11,60666,60711,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,12,65581,65733,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,13,71343,71597,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,14,78671,78823,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,15,87064,87215,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,16,88806,88871,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,17,91324,91508,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,18,98473,98572,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,19,109503,109622,P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test2,HAI_21_03_test2.csv,20,114963,115082,P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test2.json
HAI_21_03_test3,HAI_21_03_test3.csv,1,49866,49998,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,2,55260,55681,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,3,65468,65657,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,4,75182,75288,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,5,76980,77064,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,6,86111,86349,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,7,93062,93172,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test3,HAI_21_03_test3.csv,8,100381,100636,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test3.json
HAI_21_03_test4,HAI_21_03_test4.csv,1,2583,2837,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test4.json
HAI_21_03_test4,HAI_21_03_test4.csv,2,6300,6562,P1;P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test4.json
HAI_21_03_test4,HAI_21_03_test4.csv,3,14221,14484,P1;P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test4.json
HAI_21_03_test4,HAI_21_03_test4.csv,4,20702,20960,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test4.json
HAI_21_03_test4,HAI_21_03_test4.csv,5,31621,31741,P2;P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test4.json
HAI_21_03_test5,HAI_21_03_test5.csv,1,1560,1732,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,2,9603,9861,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,3,18908,19164,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,4,24900,25020,P1;P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,5,28089,28292,P1;P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,6,35523,35676,P2;P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,7,44585,44664,P2,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,8,51906,51957,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,9,54671,54912,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,10,83041,83303,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,11,85800,85920,P2;P3,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
HAI_21_03_test5,HAI_21_03_test5.csv,12,88259,88521,P1,,subsystem,subsystem_root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\root_cause_meta\HAI_21_03_test5.json
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,1,1754,2694,P1,MV101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,2,3068,3511,P1,P102,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,3,4920,5303,P1,LIT101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,4,6459,6849,P5,,subsystem,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,5,7255,7451,P2,AIT202,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,6,7705,8134,P3,LIT301,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,7,11410,12374,P3,DPIT301,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,8,15380,16101,P4,FIT401,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,10,90685,90918,P3,MV304,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,11,92140,92571,P3,MV303,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,12,93445,93721,P3,LIT301,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,13,103092,103809,P3,MV303,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,14,115843,116102,P5,AIT504,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,15,116143,116538,P5,AIT504,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,16,117000,117721,P1,LIT101;MV101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,17,132918,133381,P4;P5,AIT502;P501;UV401,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,18,142954,143651,P3;P6,DPIT301;MV302;P602,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,19,172305,172589,P2,P203;P205,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,20,172910,173522,P4,LIT401;P401,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,21,198296,199741,P1;P3,LIT301;P101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,22,227828,263728,P3;P4,LIT401;P302,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,23,279120,279241,P2,P201;P203;P205,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,24,280060,281231,P1;P2,LIT101;MV201;P101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,25,302653,303020,P4,LIT401,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,26,347679,348280,P3,LIT301,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,27,361191,361635,P1,LIT101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,28,371479,371580,P1,P101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,29,371855,372336,P1,P101;P102,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,30,389680,390220,P1,LIT101,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,31,436541,437010,P5,FIT502;P501,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,32,437417,437698,P4;P5,AIT402;AIT502,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,33,438147,438548,P4;P5,AIT502;FIT401,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,34,438621,438918,P4,FIT401,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
SWAT_A1A2_Physical_v1,SWAT_A1A2_Physical_v1.csv,35,443501,445191,P3,LIT301,variable,root_cause_ranking,relative_to_test_segment,dataset\anomaly_detect\label_sources\swat_a12_physical_attack_targets_template.csv
